0.0000	100.0008	150.0014	140.0011	130.0018	120.0011	78.0011	150.0011	90.0010	200.0010	180.0028	190.0020	160.0012
100.0012	0.0000	200.0019	180.0015	190.0024	160.0015	135.0017	144.0010	90.0010	150.0008	140.0024	130.0014	120.0008
150.0017	200.0018	0.0000	167.0014	156.0021	169.0016	123.0015	134.0009	156.0017	177.0009	155.0026	188.0019	176.0014
140.0016	180.0016	167.0016	0.0000	190.0024	198.0019	213.0024	321.0028	252.0026	123.0006	234.0033	111.0012	112.0008
130.0015	190.0017	156.0015	190.0016	0.0000	333.0032	300.0033	178.0014	167.0018	143.0007	200.0030	111.0012	156.0012
120.0014	160.0014	169.0016	198.0017	333.0038	0.0000	480.0051	389.0035	412.0042	500.0025	253.0035	222.0023	333.0029
78.0010	135.0012	123.0011	213.0018	300.0035	480.0047	0.0000	140.0010	150.0016	143.0007	177.0028	194.0020	166.0013
150.0017	144.0012	134.0012	321.0019	178.0023	389.0038	140.0017	0.0000	149.0016	129.0006	129.0023	136.0014	156.0012
90.0011	90.0007	156.0015	252.0022	167.0022	412.0040	150.0012	149.0011	0.0000	89.0005	82.0018	83.0009	60.0002
200.0022	150.0013	177.0017	123.0009	143.0019	500.0049	143.0017	129.0009	89.0010	0.0000	99.0020	200.0021	254.0021
180.0020	140.0012	155.0015	234.0020	200.0025	253.0024	177.0021	129.0009	82.0009	99.0005	0.0000	77.0008	88.0005
190.0021	130.0011	188.0018	111.0008	111.0016	222.0021	194.0022	136.0010	83.0010	200.0010	77.0018	0.0000	91.0005
160.0018	120.0010	176.0017	112.0008	156.0021	333.0032	166.0020	156.0012	60.0007	254.0013	88.0019	91.0010	0.0000
